playcount,name,tags,similar_artists
49,Super Furry Animals,"indie, indie rock, seen live, alternative, britpop","Gruff Rhys, Gorky's Zygotic Mynci, Supergrass, The Beta Band, The Bluetones, The Charlatans, British Sea Power, Doves, Longpigs, Teenage Fanclub"
49,The Olivia Tremor Control,"Elephant 6, psychedelic, indie, experimental, Lo-Fi","Circulatory System, The Apples in Stereo, of Montreal, Elf Power, The Music Tapes, Beulah, Neutral Milk Hotel, The Unicorns, Animal Collective, The Microphones"
48,Os Mutantes,"psychedelic, tropicalia, brazilian, rock, experimental","Arnaldo Baptista, Secos & Molhados, Novos Baianos, Tom Zé, Rita Lee, Júpiter Maçã, Jorge Ben, Caetano Veloso, Gilberto Gil, Ave Sangria"
46,Adele,"soul, female vocalists, british, singer-songwriter, indie","Sam Smith, Amy Winehouse, Rihanna, Katy Perry, Lady Gaga, Sia, Beyoncé, Alicia Keys, Taylor Swift, Lorde"
46,of Montreal,"indie, seen live, indie pop, indie rock, alternative","The Apples in Stereo, The Olivia Tremor Control, Animal Collective, The Unicorns, Islands, The Magnetic Fields, The Fiery Furnaces, Circulatory System, Beulah, The Flaming Lips"
46,St. Vincent,"seen live, female vocalists, indie, singer-songwriter, indie pop","David Byrne & St. Vincent, Mitski, Fiona Apple, Perfume Genius, Björk, Florence + the Machine, Angel Olsen, Lykke Li, Sleater-Kinney, Kate Bush"
45,Liniker e os Caramelows,"soul, brazilian, mpb, seen live, jazz","Johnny Hooker, As Bahias e a Cozinha Mineira, Luedji Luna, Mc Tha, DUDA BEAT, Linn da Quebrada, Jaloo, Mahmundi, Letrux, LiNikEr"
45,Marisa Monte,"mpb, female vocalists, brazilian, brasil, Bossa Nova","Tribalistas, Adriana Calcanhotto, Maria Bethânia, Maria Rita, Vanessa da Mata, Cássia Eller, Gal Costa, Caetano Veloso, Ana Carolina, Djavan"
45,Novos Baianos,"mpb, tropicalia, samba, brazilian, brasil","Gilberto Gil, Jorge Ben, Caetano Veloso, Tom Zé, Os Mutantes, Belchior, Secos & Molhados, Chico Buarque, Cartola, Lô Borges"
42,The Cure,"post-punk, new wave, alternative, 80s, rock","Siouxsie and the Banshees, Joy Division, Bauhaus, New Order, The Glove, The Smiths, Echo & the Bunnymen, Depeche Mode, The Sisters of Mercy, The Chameleons"
41,Cocteau Twins,"dream pop, shoegaze, post-punk, ethereal, alternative","Harold Budd, Simon Raymonde, Robin Guthrie & Elizabeth Fraser, This Mortal Coil, Slowdive, Cranes, Robin Guthrie, Lush, My Bloody Valentine, Siouxsie and the Banshees, Dead Can Dance, Pale Saints"
41,Daft Punk,"electronic, dance, House, electronica, techno","Justice, Stardust, deadmau5, Kavinsky, Modjo, Breakbot, Sebastian, Madeon, Cassius, The Chemical Brothers"
41,Pavement,"indie, indie rock, Lo-Fi, alternative, rock","Stephen Malkmus and the Jicks, Stephen Malkmus, Built to Spill, Silver Jews, Guided by Voices, Yo La Tengo, Sebadoh, Parquet Courts, Archers of Loaf, Dinosaur Jr."
41,The Sugarcubes,"icelandic, alternative, indie, female vocalists, rock","Björk, KUKL, The Sundays, Tappi Tíkarrass, Throwing Muses, The Psychedelic Furs, Kate Bush, The House of Love, The The, Sinéad O'Connor"
40,Cat Power,"indie, female vocalists, singer-songwriter, folk, alternative","Feist, Sharon Van Etten, PJ Harvey, Anna Calvi, Alela Diane, Scout Niblett, Fiona Apple, Marissa Nadler, Bat for Lashes, Neko Case"
40,Lush,"shoegaze, dream pop, britpop, indie, 4ad","Pale Saints, Chapterhouse, Curve, Kitchens of Distinction, Ride, Cranes, Drop Nineteens, Medicine, Ringo Deathstarr, Catherine Wheel"
40,Tom Waits,"blues, singer-songwriter, experimental, rock, alternative","Nick Cave & The Bad Seeds, Tom Waits & Crystal Gayle, Leonard Cohen, Bob Dylan, Neil Young, Lou Reed, Tim Buckley, Captain Beefheart & His Magic Band, Townes Van Zandt, Van Morrison"
39,Can,"krautrock, experimental, psychedelic, Progressive rock, german","Faust, Neu!, Holger Czukay, Amon Düül II, Harmonia, Cluster, Guru Guru, Popol Vuh, Agitation Free, Soft Machine"
