playcount,name,tags,similar_artists
7,Charles Mingus,"jazz, bebop, bass, Avant-Garde, Post-Bop","Thelonious Monk, John Coltrane, Eric Dolphy, Ornette Coleman, Miles Davis, Sonny Rollins, Cannonball Adderley, Wayne Shorter, Art Blakey & The Jazz Messengers, Rahsaan Roland Kirk"
7,Chris Connelly,"industrial, Wax Trax, post-punk, alternative, singer-songwriter","Pailhead, Lead Into Gold, Cocksure, My Life with the Thrill Kill Kult, The Tear Garden, Foetus, Skinny Puppy, 1000 Homo DJs, Download, Alien Sex Fiend"
7,Edu Lobo,"Bossa Nova, mpb, brazilian, brasil, jazz","Joyce, Nara Leão, Tamba Trio, João Bosco, Dori Caymmi, Moacir Santos, Baden Powell, João Gilberto, Mônica Salmaso, Nana Caymmi"
7,Liars,"experimental, post-punk, seen live, indie, noise","Clinic, No Age, Deerhunter, Suuns, Atlas Sound, Oneida, Deerhoof, Ought, Health, Les Savy Fav"
7,Little Quail and the Mad Birds,"brasil, psychobilly, garage, rock, punk rock","Rock Rocket, Zefirina Bomba, Devotos de Nossa Senhora Aparecida, Forgotten Boys, Thee Butchers' Orchestra, Ovos Presley, Capotones, Full Blown Cherry, Crazy Legs, The Dead Billies"
7,Morning Teleportation,"seen live, indie rock, Psychedelic Rock, indie, psychedelic pop","Mister Heavenly, Man Man, Ugly Casanova, Dr. Dog, Modest Mouse, Islands, A Great Big Pile Of Leaves, Menomena, Me Like Bees, Born Ruffians"
7,Neu!,"krautrock, experimental, psychedelic, electronic, german","La Düsseldorf, Harmonia, Can, Faust, Cluster, Amon Düül II, Popol Vuh, Michael Rother, Ash Ra Tempel, Guru Guru"
7,Opal,"dream pop, psychedelic, Paisley Underground, indie, 80s","Rain Parade, Kendra Smith, Mazzy Star, Hope Sandoval & The Warm Inventions, The Dream Syndicate, The Three O'Clock, Mojave 3, Spacemen 3, Galaxie 500, Spectrum"
7,Panda Bear,"experimental, psychedelic, freak folk, indie, folk","Animal Collective, Avey Tare, Deakin, Avey Tare's Slasher Flicks, Deerhunter, Atlas Sound, Avey Tare and Panda Bear, Avey Tare & Kría Brekkan, Ariel Pink, Ariel Pink's Haunted Graffiti"
7,Pat Metheny Group,"jazz, jazz fusion, Fusion, guitar, jazz guitar","Pat Metheny, Lyle Mays, Yellowjackets, John Scofield, Michael Brecker, Charlie Haden & Pat Metheny, Mike Stern, Weather Report, Lee Ritenour, John Abercrombie"
7,"Raz, Dwa,Trzy","polish, poetry, poezja spiewana, rock, jazz","Grzegorz Turnau, Lao Che, Voo Voo, Marek Grechuta, T.Love, Kult, Stare Dobre Małżeństwo, Maciej Maleńczuk, Strachy Na Lachy, Jacek Kaczmarski"
7,Richard Ashcroft,"britpop, indie, singer-songwriter, british, rock","The Verve, Ian Brown, Shed Seven, Noel Gallagher's High Flying Birds, Beady Eye, Ocean Colour Scene, Starsailor, Johnny Marr, The Charlatans, Stereophonics"
7,Rogério Duprat,"tropicalia, brazilian, psychedelic, tropicália, experimental","Clélia Simone & Kier, Os Brazões, Marconi Notaro, Arnaldo & Patrulha Do Espaço, Jupiter Apple, Doces Bárbaros, Brazilian Octopus, Baiano e os Novos Caetanos, Lula Côrtes, Lula Côrtes e Zé Ramalho"
7,Van Dyke Parks,"experimental, singer-songwriter, psychedelic, pop, 60s","Brian Wilson, The Beach Boys, The Millennium, Sagittarius, Harpers Bizarre, Harry Nilsson, Scott Walker, Jim O'Rourke, Robert Wyatt, The Free Design"
7,Violeta Parra,"chile, folk, female vocalists, singer-songwriter, nueva cancion","Víctor Jara, Victor Jara, Los Jaivas, Inti-Illimani, Manuel García, Quilapayún, Congreso, Illapu, Los Tres, Camila Moreno"
7,YMA,"indie pop, Soundtrack, indie, experimental, indie rock","Gab Ferreira, Brvnks, Tuyo, Carne Doce, Ana Frango elétrico, Apeles, DUDA BEAT, O Terno, Mahmundi, Tagua Tagua"
6,Alan Moorhouse,"funk, jazz, instrumental, groovy, library music","Johnny Pearson, Syd Dale, Keith Mansfield, Alan Hawkshaw, Alan Parker, Brian Bennett, David Lindup, James Clarke, John Cameron, Lalo Schifrin"
6,All Girl Summer Fun Band,"twee, indie pop, indie, female vocalists, pop","Mates of State, Go Sailor, CUB, Tiger Trap, The Softies, The Aislers Set, Tullycraft, Allo Darlin', Dressy Bessy, Talulah Gosh"
6,Big Thief,"seen live, folk, indie rock, indie, female vocalists","Angel Olsen, Weyes Blood, Aldous Harding, Sharon Van Etten, (Sandy) Alex G, Julia Jacklin, Bill Callahan, Whitney, Lucy Dacus, Phoebe Bridgers"
6,Birdy Nam Nam,"turntablism, electronic, french, downtempo, Hip-Hop","Busy P, Boys Noize, We Are Terrorists, Vitalic, Mr. Flash, Yuksek, Étienne de Crécy, Scratch Bandits Crew, C2C, Minitel Rose"
6,Broadcast,"electronic, indie, electronica, indie pop, alternative","Broadcast and The Focus Group, Stereolab, Pram, Melody's Echo Chamber, Atlas Sound, Sweet Trip, Deerhunter, Galaxie 500, Yo La Tengo, Beat Happening"
6,Fiona Apple,"female vocalists, singer-songwriter, alternative, piano, indie","PJ Harvey, Kate Bush, St. Vincent, Joanna Newsom, Tori Amos, Björk, Mitski, Angel Olsen, Regina Spektor, Joni Mitchell"
6,Fujiya & Miyagi,"electronic, indie, seen live, indietronica, electronica","Yacht, !!!, Junior Boys, Holy Ghost!, LCD Soundsystem, Datarock, Hot Chip, Stereolab, Underworld, Midnight Juggernauts"
6,Galaxie 500,"shoegaze, dream pop, slowcore, indie, indie rock","Slowdive, Mojave 3, Yo La Tengo, Red House Painters, Pale Saints, Luna, Drop Nineteens, My Bloody Valentine, Swirlies, Mazzy Star"
6,Geoff Knorr,"Soundtrack, video game music, Classical, instrumental, composer","Michael Curran, Christopher Tin, Grant Kirkhope, Roland Rizzo and Phill Boucher, FlyByNo, Tilman Sillescu, Jeremy Soule, Chris Tilton, Austin Wintory, Paradox Interactive"
6,Helado Negro,"experimental, folk, psychedelic, electronic, seen live","Cate le Bon, Y La Bamba, Avey Tare, Holly Herndon, Panda Bear, Julia Holter, Jai Paul, Weyes Blood, Amen Dunes, Sandro Perri"
6,Hüsker Dü,"punk, post-punk, hardcore, hardcore punk, alternative","Minutemen, Mission of Burma, The Replacements, Wipers, Fugazi, Sugar, Black Flag, Meat Puppets, Big Black, Minor Threat"
6,Jon Spencer Blues Explosion,"rock, blues rock, blues, seen live, alternative","Boss Hog, Heavy Trash, Jon Spencer, Girls Against Boys, The Black Crowes, Sugar, Frank Black, Soul Coughing, Mark Lanegan, Mudhoney"
6,Polica,"electronic, indie, seen live, female vocalists, indie pop","Glasser, Austra, Hundred Waters, Warpaint, tUnE-yArDs, Sylvan Esso, Braids, Wye Oak, Torres, Santigold"
6,Redd Kross,"power pop, rock, punk, seen live, indie rock","The Posies, Teenage Fanclub, Jellyfish, OFF!, Material Issue, Matthew Sweet, The Muffs, Superchunk, Sloan, Superdrag"
6,Sade,"soul, female vocalists, jazz, chillout, pop","Anita Baker, Erykah Badu, Janet Jackson, George Michael, Simply Red, Toni Braxton, Tina Turner, Corinne Bailey Rae, Lisa Stansfield, Mary J. Blige"
6,Satoko Fujii,"free jazz, jazz, piano, japanese, Avant-Garde","Satoko Fujii Quartet, Satoko Fujii Orchestra, Tatsuya Yoshida & Satoko Fujii, Satoko Fujii Ma-Do, Otomo Yoshihide's New Jazz Quintet, Marilyn Crispell, Yamamoto Seiichi, The Chris McGregor Trio, Paradoxical Frog, Dudu Pukwana, Bob Stuckey, Phil Lee, John Marshall, Terry Smith, Martin Hart"
6,Soledad,"folk, tango, female vocalists, folklore argentino, argentina","Mercedes Sosa, Abel Pintos, Fabiana Cantilo, Gilda, Ana Belén, Bersuit Vergarabat, Axel, Los Fabulosos Cadillacs, Illapu, Diego Torres"
6,Tame Impala,"Psychedelic Rock, psychedelic, indie rock, seen live, australian","Pond, MGMT, Melody's Echo Chamber, Temples, Unknown Mortal Orchestra, King Gizzard & The Lizard Wizard, The Strokes, The Holydrug Couple, Arctic Monkeys, Dungen"
6,The American Analog Set,"indie, indie rock, post-rock, indie pop, alternative","The Sea and Cake, Pinback, Bedhead, Ida, Grandaddy, The Appleseed Cast, Yo La Tengo, Spoon, Seam, The New Year"
6,The Bug,"dubstep, dancehall, electronic, dub, idm","King Midas Sound, Flowdan, Kode9, Goth-Trad, Kode9 & The Spaceape, Skream, Zomby, Mala, Commodo, Pinch"
6,The Crusaders,"jazz, funk, Fusion, jazz-funk, soul","Joe Sample, George Duke, George Benson, Bob James, Ronnie Laws, Roy Ayers, Ramsey Lewis, Bobbi Humphrey, The Jazz Crusaders, The Blackbyrds"
6,The Dirty Projectors,"experimental, seen live, indie, freak folk, folk","Dirty Projectors + Björk, tUnE-yArDs, Grizzly Bear, Animal Collective, Panda Bear, Natalie Prass, Deerhoof, Gang Gang Dance, Department of Eagles, Deerhunter"
6,the nighty Diamonds meets Don Carlos,"reggae, roots reggae, roots, jamaica, ska","The Gladiators, Culture, Dennis Brown, Wailing Souls, Gregory Isaacs, Johnny Osbourne, Israel Vibration, The Heptones, Burning Spear, The Abyssinians"
6,Vampire Weekend,"indie, indie rock, indie pop, seen live, alternative","The National, The Shins, The Strokes, HAIM, Arcade Fire, Phoenix, Spoon, Local Natives, Fleet Foxes, MGMT"
6,Vieux Farka Touré,"african, mali, world, desert blues, blues","Boubacar Traoré, Samba Touré, Ali Farka Touré, Bombino, Oumou Sangare, Rokia Traoré, Bassekou Kouyate & Ngoni ba, Tamikrest, The Touré-Raichel Collective, Issa Bagayogo"
5,Alan Hawkshaw,"funk, jazz, library music, Hammond, 60s","Keith Mansfield, Johnny Pearson, Alan Parker, Brian Bennett, John Cameron, Trevor Bastow, Syd Dale, Alan Moorhouse, Steve Gray, Frank Ricotti"
5,Aline Lessa,"mpb, female vocalists, cantora, tipo uisque, aline lessa","Duda Brack, Qinho, Blubell, Márcia Castro, Bruna Mendez, Thaís Gulin, Julia Vargas, João Capdeville, Tibério Azul, Igor de Carvalho"
5,Black Sabbath,"heavy metal, hard rock, classic rock, metal, rock","Ozzy Osbourne, Dio, Judas Priest, Heaven & Hell, Deep Purple, Rainbow, Motörhead, Iron Maiden, Led Zeppelin, Saxon"
5,Chico Science,"manguebeat, brazilian, maracatu, brasil, mangue beat","Nação Zumbi, Mundo Livre S/A, Otto, Planet Hemp, Cordel do Fogo Encantado, Secos & Molhados, O Rappa, Eddie, Belchior, Titãs"
5,Coil,"industrial, experimental, dark ambient, electronic, ambient","ELpH vs. Coil, Current 93, The Threshold Houseboys Choir, Nurse With Wound, Throbbing Gristle, Cyclobe, Psychic TV, Time Machines, Thighpaulsandra, Einstürzende Neubauten"
5,Cream,"classic rock, blues rock, rock, psychedelic, blues","The Yardbirds, Blind Faith, Derek and the Dominos, The Jimi Hendrix Experience, Eric Clapton, John Mayall & The Bluesbreakers, The Who, Jimi Hendrix, Ten Years After, Jefferson Airplane"
5,Dafnis Prieto,"jazz, drums, latin jazz, latin, contemporary jazz","Hilary Noble, Hector Martignon, Jerry Gonzalez & The Fort Apache Band, Salerosa, Horacio 'El Negro' Hernandez, Alex Garcia's AfroMantra, Sonic Liberation Front, Chuchito Valdes, Manuel Valera, Diego Urcola"
5,Di Melo,"brazilian, funk, samba, samba rock, brazil","Tom Zé, Jorge Ben, Curumin, Sérgio Sampaio, Gilberto Gil, Russo Passapusso, Luiz Melodia, Mateus Aleluia, Baiana System, Itamar Assumpção"
5,Edu Lobo & María Bethania,,"Edu Lobo & Maria Bethânia, Chico Buarque & Maria Bethânia, Chico Buarque & Edu Lobo, Doces Bárbaros, Ney Matogrosso & Pedro Luís e A Parede, Ângela Rô Rô, Aracy de Almeida, Vinicius de Moraes e Toquinho, Vinicius & Toquinho, Chico E Caetano"
5,Elis Regina,"mpb, Bossa Nova, brazilian, female vocalists, brasil","Gal Costa, Chico Buarque, Maria Bethânia, Caetano Veloso, Rita Lee, Gilberto Gil, Maria Rita, Adriana Calcanhotto, Clara Nunes, Ney Matogrosso"
5,ESG,"post-punk, funk, no wave, new york, Post punk","Bush Tetras, Au Pairs, Liquid Liquid, Lizzy Mercier Descloux, Delta 5, A Certain Ratio, The Slits, Liliput, The Raincoats, Konk"
5,Gilberto Gil & Jorge Ben,"brazilian, brasil, mpb, tropicalia, 70s","Baden Powell & Vinícius De Moraes, Doces Bárbaros, Gilberto Gil & Rita Lee, Caetano Veloso & Chico Buarque, Tropicalia ou Panis Et Circensis, Baden Powell & Vinicius de Moraes, Chico Buarque & Edu Lobo, Caetano Veloso & Gal Costa, Sá, Rodrix & Guarabyra, Chico Buarque & Maria Bethânia"
5,Gill Scott-heron,"soul, funk, jazz, poetry, political","Gil Scott-Heron & Brian Jackson, Roy Ayers, Donny Hathaway, Shuggie Otis, Cymande, Curtis Mayfield, Idris Muhammad, Darondo, Donald Byrd, Black & Blues"
5,Hubert Laws,"jazz, flute, Smooth Jazz, funk, Bossa Nova","Roy Ayers Ubiquity, Gary Bartz, Herbie Mann, Bobbi Humphrey, Johnny Hammond, Ramsey Lewis, Ronnie Laws, George Duke, Roy Ayers, Donald Byrd"
5,Joyce,"Bossa Nova, brazilian, female vocalists, mpb, brazil","Edu Lobo, Nana Caymmi, Nara Leão, Leila Pinheiro, Rosa Passos, João Donato, Ivan Lins, João Bosco, Carlos Lyra, Toninho Horta"
5,Kimya Dawson,"indie, anti-folk, singer-songwriter, female vocalists, folk","Mateo Messina, Antsy Pants, Barry Louis Polisar, The Moldy Peaches, Jeffrey Lewis, Paul Baribeau, Nana Grizol, Adam Green, The Mountain Goats, The Uncluded"
5,MF Doom and MF Grimm,"Hip-Hop, underground hip-hop, rap, hip hop, mf doom","MF DOOM, Metal Fingers, Viktor Vaughn, DANGERDOOM, King Geedorah, JJ DOOM, MF Grimm, KMD, Madvillain, Madlib"
5,Nara Leão,"Bossa Nova, mpb, brazilian, female vocalists, brazil","João Gilberto, Chico Buarque, Elis Regina, Toquinho, João Donato, Edu Lobo, Elizeth Cardoso, Gal Costa, Baden Powell, Os Cariocas"
5,Racionais Mc's,"rap, Rap Nacional, brazilian, hip hop, brazilian rap","Sabotage, MV Bill, RZO, Facção Central, Edi Rock, Black Alien, Trilha Sonora do Gueto, Emicida, Criolo, DJONGA"
5,Rufus Wainwright,"singer-songwriter, indie, folk, seen live, alternative","Martha Wainwright, Antony and the Johnsons, Patrick Wolf, John Grant, Loudon Wainwright III, Ron Sexsmith, Teddy Thompson, Badly Drawn Boy, Aimee Mann, The Divine Comedy"
5,Solange,"rnb, soul, pop, female vocalists, Hip-Hop","Kelela, Beyoncé, Blood Orange, SZA, Nao, Destiny's Child, The Internet, Kali Uchis, Frank Ocean, Janelle Monáe"
5,Sylvain Chauveau,"ambient, contemporary classical, piano, minimal, french","Library Tapes, Dustin O'Halloran, Ryan Teague, Greg Haines, Hauschka, Bruno Sanfilippo, Keith Kenniff, Peter Broderick, Goldmund, Brambles"
5,The Comet Is Coming,"jazz, jazz fusion, nu jazz, space rock, seen live","Sons of Kemet, Theon Cross, Ezra Collective, Moses Boyd, Nubya Garcia, NÉRIJA, Joe Armon-Jones, Portico Quartet, Yussef Kamaal, GoGo Penguin"
5,The dBs,"power pop, jangle pop, new wave, college rock, 80s","Game Theory, Guadalcanal Diary, Let's Active, Nick Lowe, The Records, The Three O'Clock, The Soft Boys, The Feelies, The Plimsouls, Shoes"
5,The Mighty Diamonds Meets Don Carlos,"reggae, roots reggae, roots, jamaica, ska","The Gladiators, Culture, Dennis Brown, Wailing Souls, Gregory Isaacs, Johnny Osbourne, Israel Vibration, The Heptones, Burning Spear, The Abyssinians"
5,The Moldy Peaches,"indie, anti-folk, Lo-Fi, alternative, antifolk","Kimya Dawson, Adam Green, Jeffrey Lewis, Antsy Pants, Herman Düne, Barry Louis Polisar, Daniel Johnston, The Unicorns, Beat Happening, Bright Eyes"
5,The Shins,"indie, indie rock, indie pop, alternative, seen live","Broken Bells, Band of Horses, The Decemberists, Death Cab for Cutie, Spoon, Rogue Wave, Ben Gibbard, The New Pornographers, Vampire Weekend, Modest Mouse"
5,Vitalic,"electronic, electro, techno, dance, electronica","Busy P, Digitalism, Boys Noize, Yuksek, Étienne de Crécy, Birdy Nam Nam, Teenage Bad Girl, The Bloody Beetroots, Justice, The Hacker"
4,Beth Orton,"female vocalists, singer-songwriter, folk, indie, alternative","Patty Griffin, Natalie Merchant, Shawn Colvin, Aimee Mann, Ani DiFranco, Lucinda Williams, Laura Veirs, Turin Brakes, Suzanne Vega, Tanya Donelly"
4,Bibio,"experimental, electronic, ambient, folktronica, folk","Boards of Canada, Clark, Lone, Four Tet, Plaid, Mark Pritchard, Tycho, Gold Panda, Apparat, Flying Lotus"
4,Billie Holiday,"jazz, blues, female vocalists, jazz vocal, vocal jazz","Ella Fitzgerald, Billie Holiday and Her Orchestra, Sarah Vaughan, Dinah Washington, Nina Simone, Louis Armstrong, Chet Baker, Anita O'Day, Ella Fitzgerald & Louis Armstrong, Blossom Dearie"
4,Black Uhuru,"reggae, roots reggae, dub, jamaica, roots","Burning Spear, Peter Tosh, Don Carlos, Bunny Wailer, Steel Pulse, Wailing Souls, Gregory Isaacs, Israel Vibration, Dennis Brown, Culture"
4,Cartola,"samba, mpb, brasil, brazilian, brazil","Paulinho Da Viola, Adoniran Barbosa, Nelson Cavaquinho, Martinho Da Vila, Chico Buarque, Jorge Ben, Novos Baianos, Beth Carvalho, Clara Nunes, Luiz Melodia"
4,Chaz Bundick Meets The Mattson 2,"Psychedelic Rock, rock, psychedelic, Neo-Psychedelia, jazz","Sugar Candy Mountain, The Holydrug Couple, Mild High Club, Psychedelic Porn Crumpets, Moses Gunn Collective, Post Animal, Morgan Delt, Dumbo Gets Mad, Khruangbin, Swim Mountain"
4,Dinosaur Jr.,"alternative, indie rock, seen live, Grunge, indie","J Mascis, Sebadoh, J Mascis and the Fog, Pavement, Built to Spill, Meat Puppets, Mudhoney, Sonic Youth, Archers of Loaf, Screaming Trees"
4,Flying Lotus,"electronic, experimental, Hip-Hop, instrumental hip-hop, downtempo","Teebs, Thundercat, J Dilla, Mndsgn, Aphex Twin, Jai Paul, Knxwledge, Madlib, Ras G, Boards of Canada"
4,Gastr Del Sol,"post-rock, experimental, indie, chicago, post rock","David Grubbs, Jim O'Rourke, Cul de Sac, Papa M, Tortoise, The For Carnation, The Sea and Cake, Disco Inferno, Isotope 217, Moonshake"
4,Heavy Trash,"rockabilly, blues rock, seen live, rock, blues","The Jon Spencer Blues Explosion, Jon Spencer, Soledad Brothers, Hanni El Khatib, Link Wray, Left Lane Cruiser, The Cramps, Southern Culture On The Skids, Hasil Adkins, Radio Moscow"
4,Hyldon,"mpb, soul, brasil, samba rock, 70s","Cassiano, Erasmo Carlos, Luiz Melodia, Banda Black Rio, Jorge Ben, JARDS MACALÉ, Tim Maia, Sérgio Sampaio, Lô Borges, Gilberto Gil"
4,Ivete Sangalo,"Axe, mpb, latin, brazilian, pop","Claudia Leitte, Banda Eva, Daniela Mercury, Babado Novo, Cheiro de Amor, Harmonia Do Samba, É O Tchan, Preta Gil, Banda Beijo, Asa de Águia"
4,King Crimson,"Progressive rock, experimental, classic rock, Progressive, rock","Robert Fripp, Yes, Emerson, Lake & Palmer, Van der Graaf Generator, Gentle Giant, Adrian Belew, Camel, Genesis, Frank Zappa, UK"
4,Louis Armstrong,"jazz, blues, swing, trumpet, oldies","Ella Fitzgerald, Ella Fitzgerald & Louis Armstrong, Peggy Lee, Duke Ellington, Nat King Cole, Benny Goodman, Glenn Miller, Billie Holiday, Count Basie, Louis Armstrong & Duke Ellington"
4,Love Is All,"indie pop, swedish, indie, seen live, indie rock","The Concretes, Saturday Looks Good To Me, Camera Obscura, Sambassadeur, Architecture in Helsinki, Shout Out Louds, The Walkmen, Mates of State, Suburban Kids with Biblical Names, The Fiery Furnaces"
4,Marcia Aitken,"reggae, rocksteady, jamaica, jamaican, god like genius in dub","Dawn Penn, John Holt, Alton Ellis, Johnny Clarke, Johnny Osbourne, Phyllis Dillon, Wailing Souls, The Mighty Diamonds, Willie Lindo, Ken Boothe"
4,Marcos Valle,"Bossa Nova, brazilian, latin, jazz, mpb","João Donato, Azymuth, Arthur Verocai, Antônio Carlos Jobim, Edu Lobo, Ivan Lins, João Gilberto, Erasmo Carlos, Jorge Ben, Tamba Trio"
4,Maria Bethânia,"mpb, Bossa Nova, female vocalists, brasil, brazilian","Gal Costa, Caetano Veloso, Ney Matogrosso, Adriana Calcanhotto, Gilberto Gil, Elis Regina, Marisa Monte, Clara Nunes, Nana Caymmi, Chico Buarque"
4,Marnie Stern,"math rock, experimental, noise rock, indie rock, seen live","bygones, Hella, Fang Island, Deerhoof, Zach Hill, Ponytail, Shellac, Tera Melos, Lightning Bolt, Don Caballero"
4,Monade,"french, indie, dream pop, indie pop, shoegaze","Stereolab, Pram, Broadcast, Komeda, The High Llamas, Swirlies, His Name Is Alive, Lætitia Sadier, A Sunny Day In Glasgow, Lush"
4,Paulinho Da Viola,"samba, mpb, brasil, brazilian, Bossa Nova","Martinho Da Vila, Beth Carvalho, Cartola, Luiz Melodia, João Nogueira, Clara Nunes, Nelson Cavaquinho, Gilberto Gil, João Bosco, Dona Ivone Lara"
4,Satanique Samba Trio,"experimental, Avant-Garde, samba, instrumental, jazz","Guizado, Burro Morto, Zumbi do Mato, São Paulo Underground, Romulo Fróes, Chinese Cookie Poets, Douglas Germano, Ema Stoned, A Banda de Joseph Tourton, Negro Leo"
4,Secos e Molhados,"mpb, psychedelic, brazilian, brasil, rock","Os Mutantes, Belchior, Novos Baianos, Ney Matogrosso, Gilberto Gil, Milton Nascimento, Tom Zé, Caetano Veloso, Cartola, Raul Seixas"
4,The Japanese House,"electronic, indie, indie pop, seen live, ambient","Muna, Lany, Wet, Fickle Friends, BROODS, Hippo Campus, Flor, Exes, Pale Waves, Hatchie"
4,The Smiths,"indie, 80s, post-punk, new wave, alternative","Morrissey, Joy Division, New Order, The Cure, Echo & the Bunnymen, Talking Heads, The Stone Roses, Pulp, Blur, Radiohead"
3,...And You Will Know Us by the Trail of Dead,"seen live, indie, indie rock, rock, alternative","Sparta, Aereogramme, At the Drive-In, Les Savy Fav, Nada Surf, Sebadoh, The Wrens, Rival Schools, Cloud Nothings, Tocotronic"
3,Adoniran Barbosa,"samba, mpb, brasil, brazilian, brazil","Cartola, Paulinho Da Viola, Martinho Da Vila, Bezerra da Silva, Clementina De Jesus, Beth Carvalho, Dona Ivone Lara, Nelson Cavaquinho, Clara Nunes, Zeca Pagodinho"
3,Afrika Bambaataa,"Hip-Hop, funk, electro, electronic, hip hop","Afrika Bambaataa & The Soulsonic Force, Whodini, Grandmaster Flash, The Egyptian Lover, Biz Markie, Eric B. & Rakim, The Sugarhill Gang, Kurtis Blow, Kool Moe Dee, Newcleus"
3,Aracy de Almeida,"samba, brasil, brazilian, mpb, brazil","Cyro Monteiro, Francisco Alves, Almirante, Sílvio Caldas, Ismael Silva, Ataulfo Alves, Moreira da Silva, VELHA GUARDA DA PORTELA, Jorge Veiga, Ciro Monteiro"
3,Arcade Fire,"indie, indie rock, alternative, Canadian, seen live","The National, Will Butler, MGMT, Vampire Weekend, The Killers, Interpol, Foals, The Strokes, Franz Ferdinand, The Shins"
3,Artie Shaw,"jazz, swing, Big Band, clarinet, oldies","Benny Goodman, Helen Forrest, Tommy Dorsey, Glenn Miller, Benny Goodman, Harry James, Artie Shaw and His Orchestra, Count Basie, Jimmy Dorsey, Lionel Hampton"
3,Astor Piazzolla,"tango, jazz, argentina, tango nuevo, contemporary classical","Carlos Gardel, Osvaldo Pugliese, Gidon Kremer, Gotan Project, Bajofondo, Richard Galliano, Quadro Nuevo, Otros Aires, Tanghetto, Tango Argentino"
3,Ava Rocha,"mpb, indie, female vocalists, brazilian, samba","Anelis Assumpção, Karina Buhr, Maria Beraldo, Metá Metá, Bárbara Eugênia, Letrux, Tulipa Ruiz, Serena Assumpção, Céu, Alice Caymmi"
3,Carina Round,"female vocalists, indie, singer-songwriter, indie rock, rock","Gemma Hayes, My Brightest Diamond, Meg Myers, The Joy Formidable, Poe, Mirah, Sarah Slean, Juliana Hatfield, Aimee Mann, Shannon Wright"
3,Carla Bruni,"french, female vocalists, singer-songwriter, chanson, chanson francaise","Zaz, Jane Birkin, Hélène Ségara, Keren Ann, Joyce Jonathan, Yves Montand, Женя Любич, Vanessa Paradis, Françoise Hardy, Dalida"
3,Cecil Taylor,"free jazz, jazz, Avant-Garde, piano, jazz piano","Ornette Coleman, Anthony Braxton, Sam Rivers, Albert Ayler, Eric Dolphy, Andrew Hill, Archie Shepp, Art Ensemble Of Chicago, Peter Brötzmann, Don Cherry"
3,Circles around the sun,"rock, Psychedelic Rock, ambient, Jam, instrumental","Jerry Garcia Band, Grateful Dead, Phish, Pigeons Playing Ping Pong, Dead & Company, Garcia Peoples, Naxatras, Kikagaku Moyo, Spafford, Sleepy Sun"
3,D'Angelo,"soul, Neo-Soul, rnb, funk, Neo Soul","D'Angelo and The Vanguard, Erykah Badu, Maxwell, Bilal, D'Angelo & The Vanguard, Musiq, Anderson .Paak, Raphael Saadiq, Jill Scott, OutKast"
3,Dead Kennedys,"punk, punk rock, hardcore punk, hardcore, political","Black Flag, Circle Jerks, Minor Threat, Bad Brains, The Germs, Adolescents, Descendents, T.S.O.L., D.O.A., Agent Orange"
3,Drugdealer,"indie rock, psychedelic, seen live, indie, math rock","Mild High Club, Foxygen, Crumb, sam evian, Homeshake, Soft Hair, Chris Cohen, Weyes Blood, Levitation Room, Connan Mockasin"
3,Eddie Beram,"Soundtrack, instrumental, surf rock, Surf, drums","Tracie Thoms & Zoe Bell, Samantha Shelton and Michael Andrew, Elliot Easton's Tiki Gods, The Film Studio Orchestra, Alan Reeves / Phil Steele / Philip Brigham, David Carradine and Uma Thurman, Graeme Revell & Robert Rodriguez, David Carradine, Julie Dreyfus And Uma Thurman, Eli Roth & Michael Bacall, Lucy Liu and Julie Dreyfus"
3,Eddie Floyd,"soul, rhythm and blues, stax, funk, oldies","Rufus Thomas, William Bell, Carla Thomas, The Mad Lads, Johnnie Taylor, The Mar-Keys, Mable John, The Soul Children, Sam & Dave, Arthur Conley"
3,Eli Roth & Michael Bacall,"Soundtrack, spoken word, grindhouse, death proof, american","Tracie Thoms & Zoe Bell, Tracie Thoms & Zoë Bell, David Carradine and Uma Thurman, Samantha Shelton and Michael Andrew, The Film Studio Orchestra, Alan Reeves / Phil Steele / Philip Brigham, Eddie Bunker/Harvey Keitel/Lawrence Tierney/Quentin Tarantino/Steve Buscemi, Harvey Keitel/Tim Roth, David Carradine, Julie Dreyfus And Uma Thurman, Eddie Beram"
3,Elvis Costello,"rock, new wave, singer-songwriter, classic rock, alternative","Elvis Costello & The Attractions, Elvis Costello & The Imposters, Nick Lowe, Squeeze, XTC, Joe Jackson, The Pretenders, The Jam, Marshall Crenshaw, Graham Parker"
3,Gregory Isaacs,"reggae, roots reggae, dub, jamaica, roots","Dennis Brown, Culture, Freddie McGregor, Burning Spear, Barrington Levy, Don Carlos, Peter Tosh, Bunny Wailer, The Mighty Diamonds, Steel Pulse"
3,Grupo Vou Vivendo,"choro, brazil, brasil, spotify, musica brasileira","Panorama do Choro, Evandro do Bandolim, Tôco Preto, Zé Barbeiro, Canhotinho, Altamiro Carrilho, Choro das 3, Evandro Do Bandolim E Seu Regional, Nilze Carvalho, Bando de Macambira"
3,Inky,"seen live, electronic, noise, rock, alternative","Sound Bullet, Name The Band, Dona Cislene, Young Lights, Planar, FingerFingerrr, Bratislava, Aldo, The Band, Troco em Bala, Moxine"
